0.016071	0.016071	Croak1
1.818049	1.818049	Croak2
4.214661	4.214661	Croak3
6.611272	6.611272	Croak4
9.017927	9.017927	Croak5
11.412530	11.412530	Croak6
13.813158	13.813158	Croak7
16.211778	16.211778	Croak8
18.612407	18.612407	Double-croak1
19.215076	19.215076	Double-croak2
21.013036	21.013036	Double-croak3
21.617713	21.617713	Double-croak4
23.419692	23.419692	Double-croak5
24.016333	24.016333	Double-croak6
25.816303	25.816303	Double-croak7
26.416962	26.416962	Double-croak8
28.216932	28.216932	Double-croak9
28.817591	28.817591	Double-croak10
30.611534	30.611534	Double-croak11
31.216211	31.216211	Double-croak12
33.014172	33.014172	Double-croak13
33.614831	33.614831	Double-croak14
35.416810	35.416810	Double-croak15
36.019478	36.019478	Double-croak16
38.428142	38.428142	Drum1
39.010722	39.010722	Drum2
39.611381	39.611381	Drum3
40.210032	40.210032	Drum4
40.818727	40.818727	Drum5
41.413360	41.413360	Drum6
42.010001	42.010001	Drum7
42.610661	42.610661	Drum8
43.217347	43.217347	Drum9
43.809971	43.809971	Drum10
44.410630	44.410630	Drum11
45.007272	45.007272	Drum12
45.611949	45.611949	Drum13
46.208591	46.208591	Drum14
46.821304	46.821304	Drum15
47.407901	47.407901	Drum16
48.028649	48.028649	Drum17
48.611229	48.611229	Drum18
49.211888	49.211888	Drum19
49.812547	49.812547	Drum20
50.419234	50.419234	Drum21
52.217194	52.217194	Drum22
52.821871	52.821871	Drum23
54.611796	54.611796	Drum24
55.216474	55.216474	Drum25
57.012425	57.012425	Drum26
57.623129	57.623129	Drum27
59.411045	59.411045	Drum28
60.019740	60.019740	Drum29
60.612364	60.612364	Drum30
61.213024	61.213024	Drum31
61.811674	61.811674	Drum32
62.412334	62.412334	Drum33
63.008975	63.008975	Drum34
63.615661	63.615661	Drum35
64.212303	64.212303	Drum36
69.618238	69.618238	Drum37
70.208853	70.208853	Drum38
70.813530	70.813530	Drum39
71.414190	71.414190	Drum40
72.014849	72.014849	Drum41
72.611491	72.611491	Drum42
73.214159	73.214159	Drum43
73.812810	73.812810	Drum44
74.413469	74.413469	Triplet1
75.014129	75.014129	Triplet2
75.628850	75.628850	Triplet3
76.812089	76.812089	Triplet4
77.410740	77.410740	Triplet5
78.013408	78.013408	Triplet6
79.214727	79.214727	Triplet7
79.813377	79.813377	Triplet8
80.412028	80.412028	Triplet9
81.611338	81.611338	Triplet10
82.211997	82.211997	Triplet11
82.810648	82.810648	Triplet12
84.011967	84.011967	Drum45
86.414605	86.414605	Drum46
88.815234	88.815234	Drum47
91.211845	91.211845	Drum48
93.610465	93.610465	Triplet13
94.207106	94.207106	Triplet14
94.817810	94.817810	Triplet15
96.013103	96.013103	Triplet16
96.611753	96.611753	Triplet17
97.212413	97.212413	Triplet18
98.409714	98.409714	Triplet19
99.010373	99.010373	Triplet20
99.609024	99.609024	Triplet21
100.812351	100.812351	Triplet22
101.413011	101.413011	Triplet23
102.009653	102.009653	Triplet24
103.214989	103.214989	Drum49
105.615618	105.615618	Drum50
108.010220	108.010220	Drum51
110.410849	110.410849	Drum52
112.811478	112.811478	Drum53
124.818640	124.818640	Beep1
126.620619	126.620619	Beep2
129.017230	129.017230	Beep3
131.417859	131.417859	Beep4
133.816479	133.816479	Double-beep1
134.419147	134.419147	Double-beep2
136.221125	136.221125	Double-beep3
136.821785	136.821785	Double-beep4
138.615728	138.615728	Double-beep5
139.216387	139.216387	Double-beep6
141.018365	141.018365	Double-beep7
141.610989	141.610989	Double-beep8
143.418994	143.418994	Beep5
145.813597	145.813597	Beep6
148.216234	148.216234	Beep7
150.618872	150.618872	Beep8
